UnblockNeteaseMusic|0.28.0|
adguardhome|0.107.72|
alist|3.57.0|
aliyundrive-webdav|2.3.3|
brook|20260101.0|
cdnspeedtest|2.3.2|
chinadns-ng|2025.08.09|
daed-next|2023-12-02-102cb56|
ddns-go|6.15.0|
ddnsto|sync|
dns2socks-rust|0.2.3|
dns2socks|2.1|
dns2tcp|1.1.2|
docker|29.2.1|
dockerd|29.2.1|
filebrowser|2.60.0|
geoview|0.2.5|
gn|sync|
gost|3.2.6|
hysteria|2.7.1|
ipt2socks|1.1.4|
lua-neturl|1.2-1|
luci-app-adguardhome|sync|
luci-app-advanced|1.20|
luci-app-aliddns|0.4.2|
luci-app-alist|1.0.13|
luci-app-aliyundrive-webdav|2.3.3|
luci-app-amlogic|3.1.286|
luci-app-argon-config|sync|
luci-app-argone-config|1.2|
luci-app-bypass|1.2|
luci-app-clash|v1.8.0|
luci-app-dae|sync|
luci-app-daed-next|1.0.0|
luci-app-daed|sync|
luci-app-ddns-go|1.6.5|
luci-app-ddnsto|3.2.0-r5|
luci-app-diskman|0.2.13|
luci-app-dnsfilter|1.0|
luci-app-dockerman|v0.5.26|
luci-app-easymesh|2.0|
luci-app-eqos|sync|
luci-app-fchomo|sync|
luci-app-fileassistant|sync|
luci-app-filebrowser-go|sync|
luci-app-filebrowser|1.1.0|
luci-app-gost|sync|
luci-app-guest-wifi|2.0.1|
luci-app-homeproxy|sync|
luci-app-ikoolproxy|3.8.5|
luci-app-istorex|0.6.6|
luci-app-microsocks|sync|
luci-app-momo|1.1.0|
luci-app-mosdns|1.5.23|
luci-app-nikki|1.25.1|
luci-app-openclash|0.47.055|
luci-app-openlist|sync|
luci-app-openlist2|1.0.2|
luci-app-passwall|26.2.14|
luci-app-passwall2|26.2.14|
luci-app-qbittorrent|sync|
luci-app-quickstart|0.12.6-r1|
luci-app-smartdns|1.2025.47.2|
luci-app-snmpd|sync|
luci-app-ssr-plus|190|
luci-app-store|0.1.32-1|
luci-app-transmission|sync|
luci-app-unblockneteasemusic|2.15|
luci-app-v2raya|sync|
luci-app-watchcat|sync|
luci-app-wechatpush|2.06.2|
luci-lib-taskd|1.0.25|
luci-lib-xterm|4.18.0|
luci-theme-alpha|3.9.5-beta|
luci-theme-argon|2.4.3|
luci-theme-argone|1.8.3|
luci-theme-atmaterial_new|1.2|
luci-theme-design|5.8.0-20240106|
luci-theme-ifit|1.5.2|
luci-theme-material3|1.0|
luci-theme-opentopd|1.6.0|
luci-theme-tomato|sync|
lucky|2.27.2|
microsocks|1.0.5|
mihomo|1.19.20|
momo|2025.12.31|
mosdns|5.3.4|
naiveproxy|143.0.7499.109-2|
nikki|2026.02.08|
openlist2|4.1.10|
pdnsd-alt|1.2.9b-par|
quickstart|0.11.13|
redsocks2|0.71|
shadow-tls|0.2.25|
shadowsocks-libev|3.3.6|
shadowsocks-rust|1.24.0|
shadowsocksr-libev|2.5.3|
simple-obfs|0.0.5|
sing-box|1.12.22|
smartdns|47.1|
ssocks|0.0.14|
taskd|1.0.3|
tcping|0.3|
trojan-go|0.10.6|
trojan-plus|10.0.3|
trojan|1.16.0|
tuic-client|1.0.0|
ucl|1.03|
upx-static|4.2.4|
upx|5.1.0|
v2dat|sync|update README.md
v2ray-core|5.46.0|
v2ray-geodata|sync|
v2ray-plugin|5.46.0|
v2raya|2.2.7.5|
xray-core|26.2.6|
xray-plugin|1.8.24|
